img,individual,entry,rot,F,PixAcc
./results/DESIGNATE/R_0.17919640662203698_0.8600570870210209.png,"(0.17919640662203698, 0.8600570870210209)",1791,309,"(0.2350782122905028, 28.261666698698615)",0
./results/DESIGNATE/R_0.2100385559499641_0.8621585483082601.png,"(0.2100385559499641, 0.8621585483082601)",2100,310,"(0.2241630302218525, 19.88632108475224)",0
./results/DESIGNATE/R_0.2067756970426738_0.49672614014143257.png,"(0.2067756970426738, 0.49672614014143257)",2067,178,"(0.185035510352966, 16.998103815823008)",0
./results/DESIGNATE/R_0.26396346399281645_0.4588288634588167.png,"(0.26396346399281645, 0.4588288634588167)",2639,165,"(0.319090402649977, 21.510536818935833)",0
./results/DESIGNATE/R_0.2684145667229534_0.5145215279356268.png,"(0.2684145667229534, 0.5145215279356268)",2684,185,"(0.2142416003643465, 22.901295694413076)",0
./results/DESIGNATE/R_0.17243027855650955_0.7200518916789667.png,"(0.17243027855650955, 0.7200518916789667)",1724,259,"(0.32102030323063846, 14.671387983576281)",0
./results/DESIGNATE/R_0.1785857858613635_0.8523725932281535.png,"(0.1785857858613635, 0.8523725932281535)",1785,306,"(0.20495187844536383, 25.633553926019967)",0
./results/DESIGNATE/R_0.38968996100192765_0.7145683262037317.png,"(0.38968996100192765, 0.7145683262037317)",3896,257,"(0.2150621938757532, 20.83456703692226)",0
./results/DESIGNATE/R_0.43067555066879515_0.6105384230078058.png,"(0.43067555066879515, 0.6105384230078058)",4306,219,"(0.10184571322170549, 18.89861492579275)",0
./results/DESIGNATE/R_0.15528766586806905_0.8601312016999672.png,"(0.15528766586806905, 0.8601312016999672)",1552,309,"(0.16825235324217866, 12.434711531738099)",0
./results/DESIGNATE/R_0.21201179158067218_0.8620844336293138.png,"(0.21201179158067218, 0.8620844336293138)",2120,310,"(0.17334118429037945, 25.699181877357393)",0
./results/DESIGNATE/R_0.22328357847429522_0.8523725932281535.png,"(0.22328357847429522, 0.8523725932281535)",2232,306,"(0.10600907029478458, 22.306409168978185)",0
./results/DESIGNATE/R_0.10627319370820928_0.5398979590421625.png,"(0.10627319370820928, 0.5398979590421625)",1062,194,"(0.12645180510606535, 18.42273774486023)",0
./results/DESIGNATE/R_0.20114126695311535_0.8020066377930622.png,"(0.20114126695311535, 0.8020066377930622)",2011,288,"(0.23301523052605144, 24.92341765829875)",0
./results/DESIGNATE/R_0.19955788628969306_0.8620844336293138.png,"(0.19955788628969306, 0.8620844336293138)",1995,310,"(0.23566516297377382, 18.108572617885258)",0
./results/DESIGNATE/R_0.2582528835198042_0.49672614014143257.png,"(0.2582528835198042, 0.49672614014143257)",2582,178,"(0.16828243061114206, 18.796047813318232)",0
./results/DESIGNATE/R_0.17807003025563647_0.9869711302992898.png,"(0.17807003025563647, 0.9869711302992898)",1780,355,"(0.07841785529423158, 23.439593231431807)",0
./results/DESIGNATE/R_0.21571675954309244_0.6105384230078058.png,"(0.21571675954309244, 0.6105384230078058)",2157,219,"(0.2510436869541619, 21.304424474845646)",0
./results/DESIGNATE/R_0.4373110694114388_0.9651921404863845.png,"(0.4373110694114388, 0.9651921404863845)",4373,347,"(0.23092122979692817, 24.039127555170737)",0
./results/DESIGNATE/R_0.20756523179559344_0.85475657548136.png,"(0.20756523179559344, 0.85475657548136)",2075,307,"(0.23066813474485576, 24.21386715028381)",0
./results/DESIGNATE/R_0.4373110694114388_0.8571540369901562.png,"(0.4373110694114388, 0.8571540369901562)",4373,308,"(0.22091973643541543, 23.189246971306982)",0
./results/DESIGNATE/R_0.4261237235572355_0.8620844336293138.png,"(0.4261237235572355, 0.8620844336293138)",4261,310,"(0.18744779611953813, 16.457364764261225)",0
./results/DESIGNATE/R_0.4373110694114388_0.9834463378610819.png,"(0.4373110694114388, 0.9834463378610819)",4373,354,"(0.21315852266147878, 23.326716563176586)",0
./results/DESIGNATE/R_0.1732771378208171_0.7116261064813852.png,"(0.1732771378208171, 0.7116261064813852)",1732,256,"(0.2171047469126325, 25.8149962225663)",0
./results/DESIGNATE/R_0.21240079407968465_0.49672614014143257.png,"(0.21240079407968465, 0.49672614014143257)",2124,178,"(0.29082738482989623, 26.369352584662735)",0
./results/DESIGNATE/R_0.17303155973095594_0.9826930955274729.png,"(0.17303155973095594, 0.9826930955274729)",1730,353,"(0.07940864631866834, 26.99355513355371)",0
./results/DESIGNATE/R_0.20807319894229592_0.47297410461834627.png,"(0.20807319894229592, 0.47297410461834627)",2080,170,"(0.07431023084381726, 12.816985077222947)",0
./results/DESIGNATE/R_0.14727785991071857_0.8700071275298386.png,"(0.14727785991071857, 0.8700071275298386)",1472,313,"(0.23235858029823023, 13.205980269783613)",0
./results/DESIGNATE/R_0.17807003025563647_0.8652865900628026.png,"(0.17807003025563647, 0.8652865900628026)",1780,311,"(0.07651848506428777, 24.784393064903377)",0
./results/DESIGNATE/R_0.17807003025563647_0.6535067861036444.png,"(0.17807003025563647, 0.6535067861036444)",1780,235,"(0.07448548207380219, 24.40034825328231)",0
./results/DESIGNATE/R_0.20807319894229592_0.49718740880619533.png,"(0.20807319894229592, 0.49718740880619533)",2080,178,"(0.07580869418789915, 16.270203470799736)",0
